customer_id,age,income,tenure_months,orders,avg_order_value,discount_pct,support_tickets,web_sessions,email_open_rate,days_since_purchase,rating,channel,category,sentiment,feedback_theme,feedback,revenue,churn
16815,58,73003.0,12,7,116.85,20.18,1,13,0.881,96,4.2,Email,Sports,Positive,Support,The customer described a slow or unsatisfactory support experience.,817.98,0
11432,63,56362.0,53,7,46.92,14.89,1,7,0.622,87,3.2,Mobile,Beauty,Neutral,Support,The customer described a slow or unsatisfactory support experience.,328.46,0
10212,50,60177.0,70,9,51.44,31.88,1,11,0.726,162,3.9,Email,Electronics,Neutral,Product Quality,The customer raised concerns about product quality and durability.,462.93,0
15120,19,37509.0,62,4,110.75,4.54,1,11,0.678,119,2.3,Web,Home,Negative,Availability,The customer mentioned stock availability and product access.,443.02,0
12924,66,86261.0,41,4,61.79,32.53,0,9,0.529,59,2.8,Web,Beauty,Neutral,Product Quality,The customer raised concerns about product quality and durability.,247.16,0
13739,53,71991.0,60,12,111.6,38.13,3,10,0.672,56,4.2,Web,Apparel,Positive,Price,The customer said the price was high and asked for a better offer.,1339.2,0
10639,65,66515.0,14,1,125.77,15.38,2,3,0.866,102,3.7,Web,Sports,Neutral,Product Quality,The customer raised concerns about product quality and durability.,125.77,0
12965,37,48594.0,50,11,97.73,4.06,1,6,0.479,11,4.1,Email,Apparel,Positive,Price,The customer said the price was high and asked for a better offer.,1075.06,0
15148,59,70628.0,62,7,61.06,0.69,0,10,0.556,163,4.6,Mobile,Beauty,Positive,Product Quality,The customer raised concerns about product quality and durability.,427.42,0
12840,36,87218.0,68,4,68.24,4.79,1,10,0.578,122,2.8,Web,Home,Neutral,Product Quality,The customer raised concerns about product quality and durability.,272.97,0
16649,30,78586.0,16,4,94.34,32.29,0,5,0.89,50,3.4,Store,Home,Neutral,Delivery,The customer mentioned delayed delivery and tracking concerns.,377.34,0
16325,60,88564.0,18,7,18.0,1.48,2,9,0.494,37,5.0,Email,Electronics,Positive,Support,The customer described a slow or unsatisfactory support experience.,126.0,0
15636,25,79742.0,36,5,100.16,34.01,0,10,0.585,89,3.4,Email,Home,Neutral,Product Quality,The customer raised concerns about product quality and durability.,500.82,0
17242,46,69994.0,62,2,121.95,20.04,3,10,0.65,71,3.5,Store,Home,Neutral,Availability,The customer mentioned stock availability and product access.,243.9,0
15770,53,63791.0,43,10,121.09,39.77,0,13,0.789,126,3.7,Mobile,Sports,Neutral,Price,The customer said the price was high and asked for a better offer.,1210.92,0
11419,21,38804.0,62,8,124.34,16.55,3,10,0.453,66,4.1,Store,Sports,Positive,Features,The customer discussed missing features and requested improvements.,994.7,0
16868,34,51005.0,47,8,65.57,10.18,0,8,0.632,85,4.2,Mobile,Home,Positive,Availability,The customer mentioned stock availability and product access.,524.58,0
15223,68,78843.0,62,6,91.27,21.51,2,5,0.617,39,3.8,Email,Electronics,Neutral,Returns,"The customer asked about returns, refunds, or the return process.",547.63,0
10788,53,82877.0,70,6,57.02,25.76,1,12,0.712,139,3.9,Email,Apparel,Neutral,Product Quality,The customer raised concerns about product quality and durability.,342.11,0
