customer_id,age,income,tenure_months,orders,avg_order_value,discount_pct,support_tickets,web_sessions,email_open_rate,days_since_purchase,rating,channel,category,sentiment,feedback_theme,feedback,revenue,churn,priority_score,recommended_action
16026,35,85991.0,57,3,73.43,32.38,7,17,0.363,175,3.7,Email,Sports,Neutral,Features,The customer discussed missing features and requested improvements.,220.28,1,0.7594833333333334,Retention offer
12014,55,40564.0,13,5,76.53,24.84,7,14,0.451,176,3.6,Store,Home,Neutral,Delivery,The customer mentioned delayed delivery and tracking concerns.,382.66,1,0.7478555555555556,Retention offer
12757,22,61640.0,71,7,93.21,39.4,5,12,0.429,173,2.3,Web,Apparel,Negative,Product Quality,The customer raised concerns about product quality and durability.,652.48,1,0.7387833333333333,Service recovery
16563,61,104795.0,8,6,109.95,38.66,5,7,0.307,174,3.1,Mobile,Electronics,Neutral,Features,The customer discussed missing features and requested improvements.,659.71,0,0.7354055555555556,Retention offer
12866,38,78881.0,29,3,46.6,36.91,7,9,0.332,128,2.1,Mobile,Sports,Negative,Product Quality,The customer raised concerns about product quality and durability.,139.8,1,0.7212388888888889,Service recovery
16446,61,62543.0,37,9,74.32,4.81,2,8,0.262,179,2.0,Web,Electronics,Negative,Product Quality,The customer raised concerns about product quality and durability.,668.92,1,0.7134333333333334,Service recovery
15557,35,54030.0,27,2,67.35,14.57,4,15,0.296,162,2.4,Mobile,Electronics,Negative,Price,The customer said the price was high and asked for a better offer.,134.69,1,0.7094111111111112,Service recovery
12762,68,122290.0,39,7,75.12,24.63,4,10,0.277,175,3.3,Mobile,Beauty,Neutral,Price,The customer said the price was high and asked for a better offer.,525.81,0,0.70835,Retention offer
16942,39,68900.0,6,3,89.46,13.11,3,11,0.133,164,2.7,Web,Apparel,Neutral,Availability,The customer mentioned stock availability and product access.,268.39,1,0.7074277777777778,Service recovery
15294,58,71591.0,16,7,75.8,22.22,6,8,0.408,173,4.0,Email,Apparel,Neutral,Features,The customer discussed missing features and requested improvements.,530.62,1,0.7070111111111111,Retention offer
12748,60,70756.0,38,5,88.17,16.72,6,5,0.569,174,3.4,Mobile,Beauty,Neutral,Support,The customer described a slow or unsatisfactory support experience.,440.87,1,0.6995333333333333,Engagement reminder
15694,49,90371.0,45,5,86.24,8.61,4,6,0.339,177,3.4,Email,Apparel,Neutral,Price,The customer said the price was high and asked for a better offer.,431.2,0,0.6966444444444444,Engagement reminder
14800,23,102622.0,12,5,117.58,19.04,5,10,0.258,176,4.6,Mobile,Beauty,Positive,Returns,"The customer asked about returns, refunds, or the return process.",587.91,0,0.6934,Engagement reminder
13391,23,90239.0,70,10,157.5,11.67,4,12,0.392,178,3.3,Mobile,Electronics,Neutral,Availability,The customer mentioned stock availability and product access.,1574.98,0,0.6920166666666667,Cross-sell
10273,49,70441.0,51,3,56.32,8.57,3,12,0.221,180,3.6,Mobile,Sports,Neutral,Product Quality,The customer raised concerns about product quality and durability.,168.97,0,0.6916333333333333,Engagement reminder
15562,59,61644.0,26,11,68.68,35.25,4,5,0.429,170,2.7,Web,Home,Neutral,Returns,"The customer asked about returns, refunds, or the return process.",755.51,0,0.689338888888889,Cross-sell
17271,24,63865.0,12,4,142.03,0.12,4,12,0.414,175,3.1,Web,Electronics,Neutral,Availability,The customer mentioned stock availability and product access.,568.12,1,0.68845,Engagement reminder
10437,65,84434.0,14,7,78.27,8.71,3,7,0.41,177,2.6,Email,Electronics,Neutral,Support,The customer described a slow or unsatisfactory support experience.,547.91,1,0.6846666666666666,Cross-sell
16885,43,47719.0,13,3,82.98,24.6,2,5,0.217,173,2.7,Email,Electronics,Neutral,Returns,"The customer asked about returns, refunds, or the return process.",248.94,0,0.68285,Engagement reminder
15640,57,49802.0,10,8,85.38,23.87,5,7,0.361,175,4.3,Mobile,Electronics,Positive,Features,The customer discussed missing features and requested improvements.,683.05,0,0.6818277777777778,Cross-sell
12000,64,69574.0,35,7,108.67,11.26,1,9,0.11,177,2.8,Mobile,Home,Neutral,Availability,The customer mentioned stock availability and product access.,760.69,1,0.6816111111111112,Cross-sell
16045,66,94722.0,25,5,104.06,6.9,6,6,0.487,162,3.7,Web,Apparel,Neutral,Features,The customer discussed missing features and requested improvements.,520.28,1,0.6780166666666667,Engagement reminder
13310,56,83763.0,50,3,69.5,1.33,6,11,0.496,144,2.6,Email,Apparel,Neutral,Product Quality,The customer raised concerns about product quality and durability.,208.51,0,0.6774666666666667,Engagement reminder
14220,69,79973.0,17,5,108.99,10.55,3,15,0.23,176,3.7,Email,Home,Neutral,Price,The customer said the price was high and asked for a better offer.,544.95,0,0.6771944444444444,Engagement reminder
17378,69,84897.0,46,6,105.45,23.07,3,11,0.543,177,2.1,Web,Electronics,Negative,Returns,"The customer asked about returns, refunds, or the return process.",632.7,0,0.6768166666666666,Cross-sell
15521,58,82472.0,11,5,82.47,8.97,5,9,0.54,160,2.6,Store,Beauty,Neutral,Returns,"The customer asked about returns, refunds, or the return process.",412.34,0,0.6764444444444444,Engagement reminder
11265,40,46505.0,66,9,74.04,39.57,3,11,0.317,180,3.5,Mobile,Beauty,Neutral,Delivery,The customer mentioned delayed delivery and tracking concerns.,666.36,0,0.6761833333333334,Cross-sell
